,cdate,julian.start,name
1,X1.1,1,Jan 1
2,X1.2,9,Jan 9
3,X1.3,17,Jan 17
4,X1.4,25,Jan 25
5,X2.1,32,Feb 1
6,X2.2,39,Feb 8
7,X2.3,46,Feb 15
8,X2.4,52,Feb 21
9,X3.1,60,Mar 1
10,X3.2,68,Mar 9
11,X3.3,76,Mar 17
12,X3.4,84,Mar 25
13,X4.1,91,Apr 1
14,X4.2,99,Apr 9
15,X4.3,106,Apr 16
16,X4.4,114,Apr 24
17,X5.1,121,May 1
18,X5.2,129,May 9
19,X5.3,138,May 18
20,X5.4,145,May 25
21,X6.1,152,June 1
22,X6.2,160,Jun 9
23,X6.3,168,Jun 17
24,X6.4,175,Jun 24
25,X7.1,182,Jul 1
26,X7.2,190,Jul 9
27,X7.3,198,Jul 17
28,X7.4,205,Jul 24
29,X8.1,213,Aug 1
30,X8.2,222,Aug 10
31,X8.3,229,Aug 17
32,X8.4,237,Aug 25
33,X9.1,244,Sep 1
34,X9.2,251,Sep 8
35,X9.3,258,Sep 15
36,X9.4,266,Sep 23
37,X10.1,274,Oct 1
38,X10.2,282,Oct 9
39,X10.3,289,Oct 16
40,X10.4,298,Oct 25
41,X11.1,305,Nov 1
42,X11.2,313,Nov 9
43,X11.3,320,Nov 16
44,X11.4,328,Nov 24
45,X12.1,335,Dec 1
46,X12.2,343,Dec 9
47,X12.3,351,Dec 17
48,X12.4,359,Dec 25
